Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/test-embed,227,0,1300,2259.2884701145754,99.21494300033373,16977.8566039995,35.12775330396476,1.918365429446867,0.0,1300,1700,2000,2000,2400,16000,17000,17000,17000,17000,17000
POST,/test-rag,68,0,4200,4455.008428397043,832.0004840006732,22172.835975999988,160.86764705882354,0.5746645339312201,0.0,4300,4700,5000,5100,5300,5600,21000,22000,22000,22000,22000
POST,/test-search,376,0,3400,3556.7587749414683,205.13397400009126,21553.924253999867,56.587765957446805,3.1775568346785112,0.0,3400,3800,4100,4200,4600,5100,18000,21000,22000,22000,22000
,Aggregated,671,0,2700,3208.8529884128147,99.21494300033373,22172.835975999988,59.8956780923994,5.670586798056599,0.0,2700,3500,3900,4200,4800,5400,17000,20000,22000,22000,22000
