Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/test-embed,1171,0,2,2.7901584935853068,1.31641000007221,42.15779600053793,32.89239965841161,9.775878216823504,0.0,2,3,3,3,4,4,6,16,39,42,42
POST,/test-rag,401,0,360,359.84851567835415,210.6277829989267,566.9707799988828,159.89027431421445,3.3476747779216267,0.0,360,410,430,450,480,500,510,510,570,570,570
POST,/test-search,1917,0,7,7.98360578246037,4.960277999998652,67.58486099897709,53.78142931664058,16.003722068019346,0.0,7,7,8,8,10,12,19,39,67,68,68
,Aggregated,3489,0,6,46.68131346173251,1.31641000007221,566.9707799988828,58.965892805961595,29.127275062764475,0.0,6,7,8,9,250,380,460,490,510,570,570
