Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/test-embed,304,1,3100,3140.9532239769733,111.97977400024683,8899.996154000291,35.375,2.5520270776239626,0.00839482591323672,3200,4300,4700,4900,5500,5600,6100,6200,8900,8900,8900
POST,/test-rag,88,0,10000,9131.230289965903,1308.819859000323,15983.204302000559,161.17045454545453,0.7387446803648313,0.0,10000,11000,11000,11000,12000,12000,16000,16000,16000,16000,16000
POST,/test-search,416,1,8900,7785.276047545695,205.95887800027413,15102.12754299937,56.6875,3.4922475799064756,0.00839482591323672,8900,9600,10000,10000,11000,11000,12000,12000,15000,15000,15000
,Aggregated,808,2,5500,6184.496140327978,111.97977400024683,15983.204302000559,60.04826732673267,6.7830193378952695,0.01678965182647344,5500,8900,9600,9900,11000,11000,12000,12000,16000,16000,16000
