Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/test-embed,47,0,2,27.901285957418718,1.8717290004133247,252.3367080011667,33.1063829787234,0.7912836547139439,0.0,2,3,3,5,100,180,250,250,250,250,250
POST,/test-rag,18,0,1900,8367.361030777425,304.45735399916884,32581.441247999464,356.05555555555554,0.3030448039329998,0.0,4900,6800,14000,18000,24000,33000,33000,33000,33000,33000,33000
POST,/test-search,105,0,7,25.651201438068668,5.44077499944251,673.0864929995732,54.02857142857143,1.767761356275832,0.0,7,7,8,9,99,110,110,120,670,670,670
,Aggregated,170,0,6,909.5131479117028,1.8717290004133247,32581.441247999464,80.2235294117647,2.862089814922776,0.0,6,7,20,99,650,4900,18000,24000,33000,33000,33000
