Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/test-embed,24,0,300,7150.174335416524,103.85475300063263,34273.13327699994,35.166666666666664,0.40681126869437323,0.0,320,410,910,32000,33000,34000,34000,34000,34000,34000,34000
POST,/test-rag,7,0,2300,7674.3046347143845,902.6643010001862,32565.622861999145,344.14285714285717,0.11865328670252553,0.0,2300,2600,12000,12000,33000,33000,33000,33000,33000,33000,33000
POST,/test-search,58,0,530,2741.8069665515363,189.40508000014233,34276.39708899915,55.93103448275862,0.9831272326780687,0.0,570,640,770,810,1100,32000,33000,34000,34000,34000,34000
,Aggregated,89,0,520,4318.529444415577,103.85475300063263,34276.39708899915,73.0,1.5085917880749675,0.0,520,670,900,1000,32000,33000,34000,34000,34000,34000,34000
