Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/test-embed,580,0,2,10.442451053457827,1.5301520015782444,1596.1525220009207,32.92068965517242,4.846427097453826,0.0,2,2,3,3,3,4,65,200,1600,1600,1600
POST,/test-rag,186,0,350,386.1841642418699,220.06814900123572,2353.2080330005556,159.93548387096774,1.5541990347007095,0.0,350,410,440,460,500,500,560,2200,2400,2400,2400
POST,/test-search,956,0,7,29.17144796863749,5.062776001068414,2814.079280000442,53.80125523012552,7.988248802010099,0.0,7,7,8,8,10,12,130,510,2800,2800,2800
,Aggregated,1722,0,6,61.42554031243367,1.5301520015782444,2814.079280000442,58.232288037166086,14.388874934164633,0.0,6,7,8,9,270,390,490,510,2800,2800,2800
